dataset_id,position,signature,count,example
b440f8c90b6343189093770060fc4098,provenance.record_created.time,"N/NN/NNNN, N:NN:NN AP",1152,"9/27/2020, 7:51:26 AM"
b440f8c90b6343189093770060fc4098,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,1152,Fri Dec 11 21:39:40 2020
b440f8c90b6343189093770060fc4098,provenance.record_modified[].time,"NN/NN/NNNN, NN:NN:NN",1152,"01/16/2021, 17:42:20"
b440f8c90b6343189093770060fc4098,provenance.record_modified[].time,NNNN-NN-NN NN:NN:NN.NNNNNN,2304,2020-12-17 10:40:02.159406
bc349c19b4384756a2aee8aa525b6c2a,outcomes[].analyses{}.instrument_last_calibrated,,96,
bc349c19b4384756a2aee8aa525b6c2a,provenance.record_created.time,NNNN-NN-NN NN:NN:NN.NNNNNN,96,2023-06-12 13:49:01.715366
bc349c19b4384756a2aee8aa525b6c2a,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,96,Mon Jun 12 14:18:18 2023
c5b00523487a4211a194160edf45e9ab,outcomes[].analyses{}.instrument_last_calibrated,,1430,
c5b00523487a4211a194160edf45e9ab,provenance.record_created.time,NN/NN/NNNN NN:NN:NN,1430,18/08/2024 02:10:09
c5b00523487a4211a194160edf45e9ab,provenance.record_modified[].time,DAY MON  N NN:NN:NN NNNN,1430,Fri Oct  4 15:24:54 2024
c703268ea43a4c7e802c6048b6166b34,outcomes[].analyses{}.instrument_last_calibrated,,120,
c703268ea43a4c7e802c6048b6166b34,provenance.record_created.time,NNNN-NN-NNWNN:NN:NN,120,2026-03-18T12:21:54
c703268ea43a4c7e802c6048b6166b34,provenance.record_modified[].time,DAY MON  N NN:NN:NN NNNN,120,Wed Apr  8 14:32:08 2026
cbcc4048add7468e850b6ec42549c70d,outcomes[].analyses{}.instrument_last_calibrated,,288,
cbcc4048add7468e850b6ec42549c70d,provenance.record_created.time,"N/N/NNNN, N:NN:NN AP",288,"9/3/2020, 5:11:39 PM"
cbcc4048add7468e850b6ec42549c70d,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,288,Wed Nov 18 17:55:22 2020
cbcc4048add7468e850b6ec42549c70d,provenance.record_modified[].time,NNNN-NN-NN NN:NN:NN.NNNNNN,576,2020-12-17 21:32:43.294979
ce5045aceb214cfc8bfd0ef3031e2737,outcomes[].analyses{}.instrument_last_calibrated,,96,
ce5045aceb214cfc8bfd0ef3031e2737,provenance.record_created.time,"N/NN/NNNN, N:NN:NN AP",96,"5/17/2023, 6:01:47 PM"
ce5045aceb214cfc8bfd0ef3031e2737,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,96,Sat Jun 10 23:28:27 2023
d26118acda314269becc35db5c22dc59,outcomes[].analyses{}.instrument_last_calibrated,,1728,
d26118acda314269becc35db5c22dc59,provenance.record_created.time,"N/N/NNNN, NN:NN:NN AP",1728,"2/4/2021, 11:24:34 AM"
d26118acda314269becc35db5c22dc59,provenance.record_modified[].time,DAY MON  N NN:NN:NN NNNN,1728,Thu Mar  4 18:27:48 2021
d26118acda314269becc35db5c22dc59,provenance.record_modified[].time,NNNN-NN-NN NN:NN:NN.NNNNNN,1728,2021-03-04 15:28:26.578361
